atlasId,atlasName,cohortId,name
130,ALL_AGE_Origin_Medullary thyroid cancer_expansion,1,ALL_AGE_Origin_Medullary thyroid cancer_expansion
131,ALL_AGE_re_Medullary thyroid cancer_expansion,2,ALL_AGE_re_Medullary thyroid cancer_expansion
132,ALL_AGE_Fitting_Medullary thyroid cancer_expansion,3,ALL_AGE_Fitting_Medullary thyroid cancer_expansion
133,ALL_AGE_Origin_Hypoparathyroidism_expansion,4,ALL_AGE_Origin_Hypoparathyroidism_expansion
134,ALL_AGE_re_Hypoparathyroidism_expansion,5,ALL_AGE_re_Hypoparathyroidism_expansion
135,ALL_AGE_Fitting_Hypoparathyroidism_expansion,6,ALL_AGE_Fitting_Hypoparathyroidism_expansion
136,ALL_AGE_Origin_Pheochromocytoma_expansion,7,ALL_AGE_Origin_Pheochromocytoma_expansion
137,ALL_AGE_re_Pheochromocytoma_expansion,8,ALL_AGE_re_Pheochromocytoma_expansion
138,ALL_AGE_Fitting_Pheochromocytoma_expansion,9,ALL_AGE_Fitting_Pheochromocytoma_expansion
139,ALL_AGE_Origin_Hyporphosphatemia_expansion,10,ALL_AGE_Origin_Hyporphosphatemia_expansion
140,ALL_AGE_re_Hyporphosphatemia_expansion,11,ALL_AGE_re_Hyporphosphatemia_expansion
141,ALL_AGE_Fitting_Hyporphosphatemia_expansion,12,ALL_AGE_Fitting_Hyporphosphatemia_expansion
142,ALL_AGE_Origin_Hyporphosphatemia_expansion era,13,ALL_AGE_Origin_Hyporphosphatemia_expansion era
143,ALL_AGE_re_Hyporphosphatemia_expansion_era,14,ALL_AGE_re_Hyporphosphatemia_expansion_era
144,ALL_AGE_Fitting_Hyporphosphatemia_expansion_era,15,ALL_AGE_Fitting_Hyporphosphatemia_expansion_era
145,ALL_AGE_re_Hypoparathyroidism_expansion + PTH,16,ALL_AGE_re_Hypoparathyroidism_expansion + PTH
146,ALL_AGE_Fitting_Hypoparathyroidism_expansion + PTH,17,ALL_AGE_Fitting_Hypoparathyroidism_expansion + PTH
